0	1	虞世南	蝉	垂緌饮清露，流响出疏桐。居高声自远，非是藉秋风。
1	0	王绩	野望	东皋薄暮望，徙倚欲何依。树树皆秋色，山山唯落晖。牧人驱犊返，猎马带禽归。相顾无相识，长歌怀采薇。
2	1	王绩	秋夜喜遇王处士	北场芸藿罢，东皋刈黍归。相逢秋月满，更值夜萤飞。
3	0	王梵志	吾富有钱时	吾富有钱时，妇儿看我好。吾若脱衣裳，与吾叠袍袄。吾出经求去，送吾即上道。将钱入舍来，见吾满面笑。绕吾白鸽旋，恰似鹦鹉鸟。邂逅暂时贫，看吾即貌哨。人有七贫时，七富还相报。图财不顾人，且看来时道。
4	0	王梵志	诗（二首）	我有一方便，价值百匹练。相打长伏弱，至死不入县。他人骑大马，我独跨驴子。回顾担柴汉，心下较些子。
5	0	寒山	杳杳寒山道	杳杳寒山道，落落冷涧滨。啾啾常有鸟，寂寂更无人。淅淅风吹面，纷纷雪积身。朝朝不见日，岁岁不知春。
6	1	上官仪	入朝洛堤步月	脉脉广川流，驱马历长洲。鹊飞山月曙，蝉噪野风秋。
7	0	骆宾王	咏蝉	西陆蝉声唱，南冠客思深。不堪玄鬓影，来对白头吟。露重飞难进，风多响易沉。无人信高洁，谁为表予心？
8	0	骆宾王	于易水送人一绝	此地别燕丹，壮士发冲冠。昔时人已没，今日水犹寒。
9	0	杜审言	和晋陵陆丞早春游望	独有宦游人，偏惊物候新。云霞出海曙，梅柳渡江春。淑气催黄鸟，晴光转绿蘋.忽闻歌古调，归思欲沾襟。
10	0	杜审言	渡湘江	迟日园林悲昔游，今春花鸟作边愁。独怜京国人南窜，不似湘江水北流。
11	1	苏味道	正月十五日夜	火树银花合，星桥铁锁开。暗尘随马去，明月逐人来。游妓皆秾李，行歌尽落梅。金吾不禁夜，玉漏莫相催。
12	1	王勃	咏风	肃肃凉风生，加我林壑清。驱烟寻涧户，卷雾出山楹。去来固无迹，动息如有情。日落山水静，为君起松声。
13	0	王勃	别薛华	送送多穷路，遑遑独问津。悲凉千里道，凄断百年身。心事同漂泊，生涯共苦辛。无论去与住，俱是梦中人。
14	1	王勃	送杜少府之任蜀川	城阙辅三秦，风烟望五津。与君离别意，同是宦游人。海内存知己，天涯若比邻。无为在歧路，儿女共沾巾。
15	0	王勃	江亭夜月送别二首（其二）	乱烟笼碧砌，飞月向南端。寂寞离亭掩，江山此夜寒。
16	0	王勃	山中	长江悲已滞，万里念将归。况属高风晚，山山黄叶飞。
17	1	杨炯	从军行	烽火照西京，心中自不平。牙璋辞凤阙，铁骑绕龙城。雪暗凋旗画，风多杂鼓声。宁为百夫长，胜作一书生。
18	0	刘希夷	代悲白头翁	洛阳城东桃李花，飞来飞去落谁家？洛阳女儿惜颜色，行逢落花长叹息。今年落花颜色改，明年花开复谁在？已见松柏摧为薪，更闻桑田变成海。古人无复洛城东，今人还对落花风。年年岁岁花相似，岁岁年年人不同。寄言全盛红颜子，应怜半死白头翁。此翁白头真可怜，伊昔红颜美少年。公子王孙芳树下，清歌妙舞落花前。光禄池台文锦绣，将军楼阁画神仙。一朝卧病无相识，三春行乐在谁边？宛转蛾眉能几时？须臾鹤发乱如丝。但看古来歌舞地，惟有黄昏鸟雀悲。
19	0	宋之问	送别杜审言	卧病人事绝，嗟君万里行。河桥不相送，江树远含情。别路追孙楚，维舟吊屈平。可惜龙泉剑，流落在丰城。
